metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N_G03,< 10,< 10,< 10,< 10,97.0
%_G03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_I36,< 10,22.0,< 10,< 10,1484.0
%_I36,< 0.21%,0.47%,< 0.21%,< 0.21%,0.09%
N_D27,< 10,< 10,< 10,< 10,111.0
%_D27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_W00,< 10,< 10,< 10,< 10,< 10
%_W00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K85,< 10,10.0,< 10,10.0,727.0
%_K85,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_F50,< 10,< 10,< 10,< 10,135.0
%_F50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_G57,< 10,< 10,< 10,< 10,311.0
%_G57,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Q16,< 10,< 10,< 10,< 10,16.0
%_Q16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S83,< 10,< 10,< 10,< 10,2055.0
%_S83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.13%
N_T65,< 10,< 10,< 10,< 10,64.0
%_T65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C75,< 10,< 10,< 10,< 10,92.0
%_C75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_B30,< 10,< 10,< 10,< 10,45.0
%_B30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q62,< 10,< 10,< 10,< 10,238.0
%_Q62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_J69,< 10,< 10,< 10,< 10,276.0
%_J69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Z67,< 10,18.0,< 10,< 10,824.0
%_Z67,< 0.21%,0.39%,< 0.21%,< 0.21%,0.05%
N_F78,< 10,< 10,< 10,< 10,11.0
%_F78,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_A18,< 10,< 10,< 10,< 10,11.0
%_A18,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I71,14.0,32.0,13.0,34.0,3798.0
%_I71,0.3%,0.69%,0.28%,0.73%,0.24%
N_D00,< 10,< 10,< 10,< 10,< 10
%_D00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_X50,< 10,< 10,< 10,< 10,24.0
%_X50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J20,< 10,< 10,< 10,< 10,154.0
%_J20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R25,< 10,< 10,< 10,< 10,705.0
%_R25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_Z84,< 10,< 10,< 10,< 10,112.0
%_Z84,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F82,< 10,< 10,< 10,< 10,34.0
%_F82,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T73,< 10,< 10,< 10,< 10,28.0
%_T73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P23,< 10,< 10,< 10,< 10,< 10
%_P23,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M50,< 10,< 10,< 10,< 10,797.0
%_M50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_S27,< 10,< 10,< 10,< 10,40.0
%_S27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S00,< 10,< 10,< 10,< 10,357.0
%_S00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_P83,< 10,< 10,< 10,< 10,45.0
%_P83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K02,< 10,< 10,< 10,< 10,465.0
%_K02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_M92,< 10,< 10,< 10,< 10,105.0
%_M92,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R41,16.0,173.0,< 10,141.0,4364.0
%_R41,0.34%,3.7%,< 0.21%,3.02%,0.28%
N_O70,< 10,< 10,< 10,< 10,< 10
%_O70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K57,< 10,14.0,< 10,10.0,1154.0
%_K57,< 0.21%,0.3%,< 0.21%,< 0.21%,0.07%
N_F52,< 10,< 10,< 10,< 10,33.0
%_F52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_G72,< 10,20.0,< 10,20.0,258.0
%_G72,< 0.21%,0.43%,< 0.21%,0.43%,0.02%
N_P27,< 10,< 10,< 10,< 10,89.0
%_P27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_J43,< 10,< 10,< 10,17.0,976.0
%_J43,< 0.21%,< 0.21%,< 0.21%,0.36%,0.06%
N_B74,< 10,< 10,< 10,< 10,< 10
%_B74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K12,< 10,< 10,< 10,< 10,408.0
%_K12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_K20,< 10,< 10,< 10,< 10,460.0
%_K20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_G09,< 10,< 10,< 10,< 10,< 10
%_G09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_F60,< 10,< 10,< 10,< 10,269.0
%_F60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_E87,15.0,260.0,13.0,261.0,6323.0
%_E87,0.32%,5.57%,0.28%,5.59%,0.4%
N_Z05,< 10,< 10,< 10,< 10,39.0
%_Z05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E43,< 10,< 10,< 10,< 10,100.0
%_E43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O32,< 10,< 10,< 10,< 10,739.0
%_O32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_R89,< 10,< 10,< 10,< 10,250.0
%_R89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_O00,< 10,< 10,< 10,< 10,262.0
%_O00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_I87,< 10,17.0,< 10,13.0,2205.0
%_I87,< 0.21%,0.36%,< 0.21%,0.28%,0.14%
N_Y81,< 10,< 10,< 10,< 10,< 10
%_Y81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M49,< 10,< 10,< 10,< 10,< 10
%_M49,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_H18,< 10,< 10,< 10,< 10,89.0
%_H18,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z31,< 10,< 10,< 10,< 10,1054.0
%_Z31,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_B59,< 10,< 10,< 10,< 10,51.0
%_B59,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_A03,< 10,< 10,< 10,< 10,< 10
%_A03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N77,< 10,< 10,< 10,< 10,< 10
%_N77,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_T87,< 10,< 10,< 10,< 10,43.0
%_T87,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_F66,< 10,< 10,< 10,< 10,< 10
%_F66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_T19,< 10,< 10,< 10,< 10,45.0
%_T19,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K40,< 10,10.0,< 10,< 10,953.0
%_K40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.06%
N_P28,< 10,< 10,< 10,< 10,61.0
%_P28,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N65,< 10,< 10,< 10,< 10,21.0
%_N65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C32,< 10,< 10,< 10,< 10,574.0
%_C32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
